id,planet_type,discovery_date,mass,planet_radius,orbital_radius,orbital_period,eccentricity,detection_method
1594,Super Earth,2015,4.31 Earths,1.91 x Earth,0.0532 AU,5.7 days,0.0,
1595,Neptune-like,2015,5.73 Earths,0.202 x Jupiter,0.0818 AU,10.9 days,0.0,
1596,Gas Giant,2016,0.426 Jupiters,0.683 x Jupiter,0.045 AU,3 days,0.0,
1597,Neptune-like,2016,6.71 Earths,0.221 x Jupiter,0.0392 AU,2.6 days,0.0,
1598,Neptune-like,2016,5.22 Earths,2.14 x Earth,0.0636 AU,6.7 days,0.0,
1599,Neptune-like,2016,5.22 Earths,2.14 x Earth,0.1148 AU,16.2 days,0.0,
1600,Neptune-like,2016,10.5 Earths,0.287 x Jupiter,0.1627 AU,20.3 days,0.0,
1601,Neptune-like,2016,14.5 Earths,0.348 x Jupiter,0.189 AU,25.5 days,0.0,
1602,Super Earth,2016,4.94 Earths,2.07 x Earth,0.0619 AU,6.5 days,0.0,
1603,Super Earth,2016,3.12 Earths,1.58 x Earth,0.1014 AU,12.6 days,0.0,
1604,Super Earth,2016,21.3 Earths,0.222 x Jupiter,0.05983 AU,5.1 days,0.0,
1605,Super Earth,2016,3.12 Earths,1.58 x Earth,0.0708 AU,8.1 days,0.0,
1606,Neptune-like,2016,5.99 Earths,0.207 x Jupiter,0.0591 AU,7.1 days,0.0,
1607,Neptune-like,2015,6.8 Earths,0.223 x Jupiter,0.1898 AU,30.9 days,0.0,
1608,Neptune-like,2016,8.7 Earths,0.258 x Jupiter,0.1112 AU,14 days,0.0,
1609,Neptune-like,2016,5.27 Earths,2.15 x Earth,0.0559 AU,7 days,0.0,
1610,Super Earth,2016,1.28 Earths,1.08 x Earth,0.04 AU,5.6 days,0.11,
1611,Super Earth,2016,1.65 Earths,1.16 x Earth,0.078 AU,15.2 days,0.11,
1612,Super Earth,2016,1.01 Earths,1.01 x Earth,0.05 AU,7.8 days,0.11,
1613,Super Earth,2016,2.21 Earths,1.29 x Earth,0.106 AU,24.2 days,0.11,
1614,Neptune-like,2016,6.57 Earths,0.219 x Jupiter,0.07619 AU,7.5 days,0.0,
1615,Neptune-like,2016,5.95 Earths,0.206 x Jupiter,0.1402 AU,19.6 days,0.0,
1616,Neptune-like,2016,7.61 Earths,0.238 x Jupiter,0.081 AU,7.8 days,0.0,
1617,Neptune-like,2016,8.1 Earths,0.247 x Jupiter,0.1429 AU,18.3 days,0.0,
1618,Neptune-like,2016,1.9 Jupiters,0.205 x Jupiter,0.076 AU,8.2 days,0.14,
1619,Neptune-like,2016,13.2 Earths,0.329 x Jupiter,0.0987 AU,11 days,0.0,
1620,Neptune-like,2015,7.61 Earths,0.238 x Jupiter,0.1814 AU,28.7 days,0.0,
1621,Super Earth,2016,4.7 Earths,2.01 x Earth,0.135 AU,19.1 days,0.0,
1622,Super Earth,2016,2.76 Earths,1.47 x Earth,0.0596 AU,5.6 days,0.0,
1623,Neptune-like,2018,7.04 Earths,0.228 x Jupiter,Unknown,28.9 days,0.0,
1624,Super Earth,2016,4.54 Earths,1.97 x Earth,0.059 AU,6.1 days,0.06,
1625,Super Earth,2016,2.08 Earths,1.244 x Earth,0.03014 AU,2.7 days,0.07,
1626,Super Earth,2016,2.8 Earths,1.483 x Earth,0.07131 AU,10 days,0.06,
1627,Neptune-like,2016,6.39 Earths,0.215 x Jupiter,0.0665 AU,6.4 days,0.0,
1628,Super Earth,2016,4.78 Earths,2.03 x Earth,0.1768 AU,27.9 days,0.0,
1629,Super Earth,2016,1.87 Earths,1.2 x Earth,0.013 AU,0.7 days,0.24,
1630,Super Earth,2016,4.5 Earths,1.96 x Earth,0.077 AU,8.8 days,0.0,
1631,Gas Giant,2016,0.141 Jupiters,0.678 x Jupiter,0.094 AU,9.7 days,0.0,
1632,Super Earth,2016,2.04 Earths,1.23 x Earth,0.0345 AU,4.6 days,0.26,
1633,Terrestrial,2016,0.17 Earths,0.615 x Earth,0.01462 AU,1.1 days,0.15,
1634,Neptune-like,2015,12.5 Earths,0.319 x Jupiter,0.0856 AU,10.4 days,0.0,
1635,Neptune-like,2016,6.39 Earths,0.215 x Jupiter,0.0532 AU,5.1 days,0.0,
1636,Neptune-like,2016,7.27 Earths,0.232 x Jupiter,0.096 AU,13.7 days,0.07,
1637,Super Earth,2016,2.24 Earths,1.3 x Earth,0.035 AU,2.9 days,0.19,
1638,Super Earth,2016,1.37 Earths,1.1 x Earth,0.0164 AU,1.4 days,0.09,
1639,Neptune-like,2016,11 Earths,0.295 x Jupiter,0.0525 AU,10.1 days,0.16,
1640,Gas Giant,2016,0.48 Jupiters,0.947 x Jupiter,0.086 AU,8.4 days,0.22,
1641,Neptune-like,2016,32.2 Earths,0.464 x Jupiter,0.0974 AU,10.1 days,0.0,
1642,Gas Giant,2016,0.97 Jupiters,1.046 x Jupiter,0.1597 AU,18.3 days,0.19,
1643,Neptune-like,2015,5.69 Earths,0.201 x Jupiter,0.091 AU,18.4 days,0.0,
1644,Gas Giant,2012,13.616 Jupiters,1.1 x Jupiter,55.0 AU,253.1 years,0.0,
1645,Gas Giant,2007,2 Jupiters,1.19 x Jupiter,2.65 AU,3.5 years,0.17,
1646,Neptune-like,2014,7 Earths,0.227 x Jupiter,0.311 AU,121.5 days,0.23,
1647,Gas Giant,2016,0.679 Jupiters,1.399 x Jupiter,0.0525 AU,4.2 days,0.0,
1648,Gas Giant,2017,0.171 Jupiters,1.35 x Jupiter,0.06229 AU,4.7 days,0.0,
1649,Gas Giant,2017,0.95 Jupiters,1.78 x Jupiter,0.06708 AU,5 days,0.0,
1650,Gas Giant,2016,1.284 Jupiters,1.743 x Jupiter,0.03005 AU,1.7 days,0.0,
1651,Gas Giant,2016,1.31 Jupiters,1.74 x Jupiter,0.04613 AU,3.3 days,0.0,
1652,Gas Giant,2017,2.75 Jupiters,1.415 x Jupiter,0.02044 AU,1 days,0.0,
1653,Gas Giant,2016,1.31 Jupiters,1.525 x Jupiter,0.04881 AU,3.1 days,0.0,
1654,Gas Giant,2017,1.18 Jupiters,1.57 x Jupiter,0.0455 AU,2.9 days,0.0,
1655,Gas Giant,2017,4.07 Jupiters,1.91 x Jupiter,0.0637 AU,4.6 days,0.0,
1656,Gas Giant,2012,27.23 Jupiters,1.11 x Jupiter,0.02466 AU,1.2 days,0.01,
1657,Gas Giant,2017,3.382 Jupiters,1.741 x Jupiter,0.0542 AU,3.5 days,0.0,
1658,Gas Giant,2018,3.91 Jupiters,1.586 x Jupiter,0.05224 AU,3.6 days,0.0,
1659,Gas Giant,2019,0.938 Jupiters,1.323 x Jupiter,0.03302 AU,2.3 days,0.0,
1660,Gas Giant,2019,5.18 Jupiters,1.272 x Jupiter,0.06969 AU,5.6 days,0.08,
1661,Gas Giant,2012,1.7 Jupiters,1.35 x Jupiter,0.05497 AU,4.1 days,0.0,
1662,Gas Giant,2013,1.94 Jupiters,1.56 x Jupiter,0.04123 AU,2.7 days,0.0,
1663,Gas Giant,2016,0.902 Jupiters,1.699 x Jupiter,0.04317 AU,3 days,0.0,
1664,Gas Giant,2014,0.52 Jupiters,1.3 x Jupiter,0.07939 AU,7.8 days,0.22,
1665,Gas Giant,2015,3.71 Jupiters,1.16 x Jupiter,2.39 AU,3.5 years,0.21,
1666,Gas Giant,2015,1.39 Jupiters,1.6 x Jupiter,0.04415 AU,2.7 days,0.0,
1667,Gas Giant,2015,0.66 Jupiters,1.62 x Jupiter,0.0455 AU,3.2 days,0.04,
1668,Gas Giant,2017,2.88 Jupiters,1.891 x Jupiter,0.03462 AU,1.5 days,0.0,
1669,Neptune-like,2016,20.3 Earths,0.425 x Jupiter,0.5337 AU,120 days,0.0,
1670,Neptune-like,2016,10.1 Earths,0.281 x Jupiter,0.1129 AU,14.3 days,0.0,
1671,Super Earth,2020,3.11 Earths,1.578 x Earth,0.084 AU,9.2 days,0.0,
1672,Super Earth,2016,3.57 Earths,1.71 x Earth,0.0564 AU,4.3 days,0.0,
1673,Super Earth,2016,3.82 Earths,1.78 x Earth,0.0444 AU,3.6 days,0.0,
1674,Neptune-like,2016,32.5 Earths,0.56 x Jupiter,0.0671 AU,5.3 days,0.0,
1675,Super Earth,2016,2.86 Earths,1.5 x Earth,0.0669 AU,6.5 days,0.0,
1676,Super Earth,2016,2.99 Earths,1.54 x Earth,0.1464 AU,19.8 days,0.0,
1677,Super Earth,2016,2.67 Earths,1.44 x Earth,0.048 AU,5.2 days,0.0,
1678,Super Earth,2016,2.18 Earths,1.28 x Earth,0.0951 AU,12.4 days,0.0,
1679,Neptune-like,2016,5.35 Earths,2.17 x Earth,0.0796 AU,11.4 days,0.0,
1680,Super Earth,2014,7.34 Earths,1.32 x Earth,0.072 AU,6.9 days,0.13,
1681,Neptune-like,2014,7.05 Earths,2.2 x Earth,0.109 AU,12.8 days,0.02,
1682,Super Earth,2014,3 Earths,1.61 x Earth,0.2143 AU,35.3 days,0.38,
1683,Neptune-like,2016,5.99 Earths,0.207 x Jupiter,0.193 AU,34.3 days,0.0,
1684,Neptune-like,2016,8.6 Earths,0.256 x Jupiter,0.0633 AU,5.8 days,0.0,
1685,Super Earth,2016,2.21 Earths,1.29 x Earth,0.0585 AU,5.5 days,0.0,
1686,Neptune-like,2016,5.27 Earths,2.15 x Earth,0.137 AU,18.9 days,0.0,
1687,Neptune-like,2016,6.3 Earths,0.213 x Jupiter,0.121 AU,16.6 days,0.0,
1688,Neptune-like,2016,12.3 Earths,0.317 x Jupiter,0.1396 AU,16 days,0.0,
1689,Neptune-like,2016,5.39 Earths,2.18 x Earth,0.0307 AU,2 days,0.0,
1690,Neptune-like,2016,13.1 Earths,0.328 x Jupiter,0.4389 AU,105.7 days,0.0,
1691,Super Earth,2016,4.62 Earths,1.99 x Earth,0.0702 AU,7.2 days,0.0,
1692,Neptune-like,2016,7.18 Earths,0.23 x Jupiter,0.253 AU,49.1 days,0.0,
1693,Super Earth,2016,2.73 Earths,1.46 x Earth,0.0221 AU,1.4 days,0.0,
1694,Gas Giant,2014,0.16 Jupiters,0.51 x Jupiter,0.0474 AU,3.5 days,0.09,
1695,Super Earth,2014,3.78 Earths,1.25 x Earth,0.0684 AU,6 days,0.0,
1696,Neptune-like,2016,5.82 Earths,0.203 x Jupiter,0.3878 AU,96.9 days,0.0,
1697,Neptune-like,2016,6.04 Earths,0.208 x Jupiter,0.1034 AU,13.5 days,0.0,
1698,Neptune-like,2016,6.17 Earths,0.211 x Jupiter,0.0805 AU,11 days,0.0,
1699,Neptune-like,2016,7.41 Earths,0.235 x Jupiter,0.301 AU,62.1 days,0.0,
1700,Neptune-like,2016,14.5 Earths,0.349 x Jupiter,0.3033 AU,66.4 days,0.0,
1701,Super Earth,2016,4.58 Earths,1.98 x Earth,0.3344 AU,37.3 days,0.0,
1702,Neptune-like,2016,5.52 Earths,2.21 x Earth,0.1977 AU,36.5 days,0.0,
1703,Terrestrial,2016,0.64 Earths,0.89 x Earth,0.0295 AU,1.9 days,0.0,
1704,Super Earth,2016,2.33 Earths,1.33 x Earth,0.0354 AU,2.5 days,0.0,
1705,Super Earth,2016,2.13 Earths,1.26 x Earth,0.047 AU,4.4 days,0.0,
1706,Terrestrial,2014,4.3 Earths,0.47 x Earth,0.0552 AU,5.3 days,0.0,
1707,Terrestrial,2014,3 Earths,0.58 x Earth,0.067 AU,7.1 days,0.0,
1708,Super Earth,2014,3.8 Earths,1.18 x Earth,0.0862 AU,10.3 days,0.0,
1709,Super Earth,2013,8.93 Earths,2.22 x Earth,0.1162 AU,16.1 days,0.0,
1710,Terrestrial,2014,5.2 Earths,0.88 x Earth,0.1655 AU,27.5 days,0.0,
1711,Neptune-like,2016,6.71 Earths,0.221 x Jupiter,0.1338 AU,19.3 days,0.0,
1712,Terrestrial,2016,0.59 Earths,0.87 x Earth,0.0218 AU,1.2 days,0.0,
1713,Super Earth,2016,4.16 Earths,1.87 x Earth,0.0361 AU,3.3 days,0.0,
1714,Neptune-like,2016,6.85 Earths,0.224 x Jupiter,0.0761 AU,7.6 days,0.0,
1715,Neptune-like,2016,5.73 Earths,0.202 x Jupiter,0.0965 AU,12.1 days,0.0,
1716,Super Earth,2016,1.71 Earths,1.17 x Earth,0.0386 AU,2.7 days,0.0,
1717,Neptune-like,2016,9.32 Earths,0.269 x Jupiter,0.4629 AU,122.9 days,0.0,
1718,Super Earth,2016,2.18 Earths,1.28 x Earth,0.0198 AU,1.1 days,0.0,
1719,Neptune-like,2016,12.2 Earths,0.315 x Jupiter,0.5238 AU,148.5 days,0.0,
1720,Super Earth,2021,2.59 Earths,1.416 x Earth,0.0692 AU,7.1 days,0.0,
1721,Super Earth,2016,2.73 Earths,1.46 x Earth,0.0184 AU,0.9 days,0.0,
1722,Neptune-like,2014,9.7 Earths,0.301 x Jupiter,0.1269 AU,16 days,0.03,
1723,Neptune-like,2014,36.1 Earths,0.459 x Jupiter,0.6372 AU,179.6 days,0.02,
1724,Super Earth,2016,4.98 Earths,2.08 x Earth,0.6559 AU,201.1 days,0.0,
1725,Neptune-like,2016,8.96 Earths,0.262 x Jupiter,0.1688 AU,24.8 days,0.0,
1726,Neptune-like,2016,5.43 Earths,2.19 x Earth,0.0756 AU,10.1 days,0.0,
1727,Neptune-like,2016,7.04 Earths,0.227 x Jupiter,0.2159 AU,38.5 days,0.0,
1728,Neptune-like,2016,7.61 Earths,0.238 x Jupiter,0.0741 AU,6.8 days,0.0,
1729,Neptune-like,2016,7.7 Earths,0.24 x Jupiter,0.1616 AU,26.4 days,0.0,
1730,Super Earth,2016,3.57 Earths,1.71 x Earth,0.1167 AU,14.4 days,0.0,
1731,Super Earth,2016,5.02 Earths,2.09 x Earth,0.2939 AU,56.2 days,0.0,
1732,Terrestrial,2016,0.937 Earths,0.99 x Earth,0.0434 AU,3.2 days,0.0,
1733,Super Earth,2016,3.22 Earths,1.61 x Earth,0.059 AU,6.9 days,0.0,
1734,Terrestrial,2016,0.809 Earths,0.95 x Earth,0.0349 AU,3.3 days,0.0,
1735,Super Earth,2014,19.6 Earths,0.277 x Jupiter,0.094 AU,11.4 days,0.0,
1736,Neptune-like,2014,9.96 Earths,0.279 x Jupiter,0.153 AU,23.7 days,0.0,
1737,Neptune-like,2014,12.5 Earths,0.319 x Jupiter,0.257 AU,51.8 days,0.0,
1738,Super Earth,2016,3.19 Earths,1.6 x Earth,0.1313 AU,15.4 days,0.0,
1739,Super Earth,2016,2.79 Earths,1.48 x Earth,0.1622 AU,21.1 days,0.0,
1740,Neptune-like,2016,11.5 Earths,0.303 x Jupiter,0.1891 AU,26 days,0.0,
1741,Neptune-like,2016,8.91 Earths,0.261 x Jupiter,0.2046 AU,34.9 days,0.0,
1742,Terrestrial,2016,0.904 Earths,0.98 x Earth,0.0315 AU,2.4 days,0.0,
1743,Neptune-like,2016,7.41 Earths,0.235 x Jupiter,0.054 AU,4.3 days,0.0,
1744,Super Earth,2016,2.04 Earths,1.23 x Earth,0.0331 AU,2.3 days,0.0,
1745,Neptune-like,2016,9.32 Earths,0.269 x Jupiter,0.1629 AU,27.5 days,0.0,
1746,Neptune-like,2016,11.2 Earths,0.3 x Jupiter,0.1138 AU,14.1 days,0.0,
1747,Neptune-like,2016,7.85 Earths,0.243 x Jupiter,0.3679 AU,111 days,0.0,
1748,Super Earth,2016,3.64 Earths,1.73 x Earth,0.044 AU,3.8 days,0.0,
1749,Neptune-like,2013,5.1 Earths,0.429 x Jupiter,0.066 AU,5.4 days,0.47,
1750,Super Earth,2014,4.6 Earths,1.31 x Earth,0.0711 AU,7.1 days,0.0,
1751,Neptune-like,2016,6.26 Earths,0.212 x Jupiter,0.2495 AU,46.9 days,0.0,
1752,Super Earth,2016,4.58 Earths,1.98 x Earth,0.0384 AU,2.8 days,0.0,
1753,Super Earth,2016,3.75 Earths,1.76 x Earth,0.0748 AU,9.3 days,0.0,
1754,Super Earth,2016,2.83 Earths,1.49 x Earth,0.1176 AU,14.1 days,0.0,
1755,Super Earth,2016,3.02 Earths,1.55 x Earth,0.1183 AU,16.5 days,0.0,
1756,Neptune-like,2016,13.4 Earths,0.333 x Jupiter,0.0455 AU,3.6 days,0.0,
1757,Super Earth,2016,3.19 Earths,1.6 x Earth,0.0344 AU,2.4 days,0.0,
1758,Neptune-like,2016,6.17 Earths,0.211 x Jupiter,0.0299 AU,1.9 days,0.0,
1759,Terrestrial,2016,0.437 Earths,0.8 x Earth,0.0162 AU,0.8 days,0.0,
1760,Super Earth,2021,3.7 Earths,1.747 x Earth,0.0601 AU,5.4 days,0.0,
1761,Neptune-like,2016,12.8 Earths,0.324 x Jupiter,0.1309 AU,16.9 days,0.0,
1762,Super Earth,2016,3.19 Earths,1.6 x Earth,0.1685 AU,23.9 days,0.0,
1763,Terrestrial,2014,5.3 Earths,0.82 x Earth,0.0648 AU,6.2 days,0.0,
1764,Super Earth,2014,10.44 Earths,0.223 x Jupiter,0.1096 AU,13.6 days,0.0,
1765,Terrestrial,2014,8.1 Earths,0.95 x Earth,0.1602 AU,24 days,0.0,
1766,Super Earth,2014,11.17 Earths,0.228 x Jupiter,0.2395 AU,43.8 days,0.0,
1767,Super Earth,2016,3.64 Earths,1.73 x Earth,0.0693 AU,6.2 days,0.0,
1768,Neptune-like,2016,6.26 Earths,0.212 x Jupiter,0.0615 AU,6.2 days,0.0,
1769,Super Earth,2016,3.12 Earths,1.58 x Earth,0.0269 AU,1.6 days,0.0,
1770,Neptune-like,2016,5.9 Earths,0.205 x Jupiter,0.0805 AU,8.7 days,0.0,
1771,Super Earth,2016,3.33 Earths,1.64 x Earth,0.0483 AU,4 days,0.0,
1772,Super Earth,2021,2.82 Earths,1.488 x Earth,0.0352 AU,2.5 days,0.0,
1773,Super Earth,2016,2.1 Earths,1.25 x Earth,0.0536 AU,5.9 days,0.0,
1774,Super Earth,2016,2.6 Earths,1.42 x Earth,0.0208 AU,1.5 days,0.0,
1775,Terrestrial,2016,0.437 Earths,0.8 x Earth,0.0611 AU,6.1 days,0.0,
1776,Neptune-like,2016,8.1 Earths,0.247 x Jupiter,0.2101 AU,34.4 days,0.0,
1777,Super Earth,2016,4.27 Earths,1.9 x Earth,0.0388 AU,3 days,0.0,
1778,Super Earth,2016,3.29 Earths,1.63 x Earth,0.1092 AU,13.2 days,0.0,
1779,Super Earth,2014,3.51 Earths,1.536 x Earth,0.04544 AU,3.2 days,0.0,
1780,Super Earth,2014,9.39 Earths,1.597 x Earth,0.06064 AU,4.9 days,0.0,
1781,Super Earth,2014,3.8 Earths,0.86 x Earth,0.08377 AU,8 days,0.0,
1782,Neptune-like,2014,8.6 Earths,0.259 x Jupiter,0.12639 AU,14.7 days,0.0,
1783,Neptune-like,2016,10.8 Earths,0.293 x Jupiter,0.3781 AU,77.3 days,0.0,
1784,Super Earth,2016,1.01 Earths,1.01 x Earth,0.0466 AU,3.9 days,0.0,
1785,Super Earth,2016,1.46 Earths,1.12 x Earth,0.0257 AU,1.5 days,0.0,
1786,Neptune-like,2016,11.2 Earths,0.3 x Jupiter,0.1899 AU,33.4 days,0.0,
1787,Super Earth,2016,1.41 Earths,1.11 x Earth,0.0324 AU,2.1 days,0.0,
1788,Gas Giant,2016,0.13 Jupiters,0.644 x Jupiter,0.7391 AU,219.3 days,0.0,
1789,Neptune-like,2020,10.7 Earths,0.292 x Jupiter,0.3002 AU,56.8 days,0.0,
1790,Neptune-like,2016,6.53 Earths,0.218 x Jupiter,0.1198 AU,18.8 days,0.0,
1791,Neptune-like,2016,8.96 Earths,0.262 x Jupiter,0.503 AU,161.5 days,0.0,
1792,Terrestrial,2016,0.165 Earths,0.61 x Earth,0.0148 AU,0.7 days,0.0,
1793,Super Earth,2016,2.6 Earths,1.42 x Earth,0.1602 AU,23.1 days,0.0,
1794,Super Earth,2016,4.01 Earths,1.83 x Earth,0.0497 AU,5.1 days,0.0,
1795,Gas Giant,2014,0.176 Jupiters,0.772 x Jupiter,0.292 AU,49.2 days,0.22,
1796,Gas Giant,2014,0.16 Jupiters,0.73 x Jupiter,0.721 AU,190.3 days,0.04,
1797,Neptune-like,2016,5.69 Earths,0.201 x Jupiter,0.6364 AU,198.7 days,0.0,
1798,Neptune-like,2021,10.9 Earths,0.294 x Jupiter,0.2274 AU,42.4 days,0.0,
1799,Super Earth,2016,2.73 Earths,1.46 x Earth,0.0252 AU,1.4 days,0.0,
1800,Super Earth,2016,4.94 Earths,2.07 x Earth,0.2996 AU,58.6 days,0.0,
1801,Super Earth,2016,4.46 Earths,1.95 x Earth,0.1685 AU,25.1 days,0.0,
1802,Super Earth,2016,4.5 Earths,1.96 x Earth,0.394 AU,89.7 days,0.0,
1803,Neptune-like,2016,10.2 Earths,0.284 x Jupiter,0.3625 AU,78.1 days,0.0,
1804,Super Earth,2016,1.92 Earths,1.21 x Earth,0.0514 AU,4.3 days,0.0,
1805,Super Earth,2016,2.07 Earths,1.24 x Earth,0.034 AU,2.9 days,0.0,
1806,Neptune-like,2016,10.7 Earths,0.291 x Jupiter,0.5791 AU,187.7 days,0.0,
1807,Super Earth,2016,2.24 Earths,1.3 x Earth,0.0358 AU,2.5 days,0.0,
1808,Neptune-like,2016,8.4 Earths,0.252 x Jupiter,0.0337 AU,2.2 days,0.0,
1809,Neptune-like,2014,7.3 Earths,0.211 x Jupiter,0.0683 AU,6.5 days,0.21,
1810,Neptune-like,2014,21.8 Earths,0.225 x Jupiter,0.1506 AU,21.2 days,0.03,
1811,Super Earth,2011,4.60853 Earths,1.481 x Earth,0.0172 AU,0.8 days,0.06,
1812,Super Earth,2011,7.37 Earths,0.207 x Jupiter,0.241 AU,45.3 days,0.03,
1813,Super Earth,2016,3.71 Earths,1.75 x Earth,0.0684 AU,6.4 days,0.0,
1814,Neptune-like,2016,6.66 Earths,0.22 x Jupiter,0.3483 AU,81.3 days,0.0,
1815,Neptune-like,2016,7.56 Earths,0.237 x Jupiter,0.2731 AU,51.3 days,0.0,
1816,Neptune-like,2016,5.77 Earths,0.203 x Jupiter,0.1473 AU,19.8 days,0.0,
1817,Super Earth,2016,2.04 Earths,1.23 x Earth,0.0628 AU,5 days,0.0,
1818,Super Earth,2016,4.7 Earths,2.01 x Earth,0.0471 AU,4.4 days,0.0,
1819,Super Earth,2016,3.36 Earths,1.65 x Earth,0.0239 AU,1.3 days,0.0,
1820,Super Earth,2016,2.36 Earths,1.34 x Earth,0.0126 AU,0.6 days,0.0,
1821,Super Earth,2016,2.73 Earths,1.46 x Earth,0.0511 AU,4.5 days,0.0,
1822,Neptune-like,2016,5.43 Earths,2.19 x Earth,0.2466 AU,37.6 days,0.0,
1823,Super Earth,2014,4.01 Earths,1.83 x Earth,0.107 AU,12.7 days,0.0,
1824,Neptune-like,2014,5.52 Earths,2.21 x Earth,0.198 AU,31.7 days,0.0,
1825,Neptune-like,2016,7.56 Earths,0.237 x Jupiter,0.0754 AU,9.7 days,0.0,
1826,Super Earth,2016,4.66 Earths,2.0 x Earth,0.0872 AU,8.8 days,0.0,
1827,Neptune-like,2016,9.38 Earths,0.269 x Jupiter,0.1239 AU,14.4 days,0.0,
1828,Neptune-like,2016,8.3 Earths,0.251 x Jupiter,0.2415 AU,42.3 days,0.0,
1829,Super Earth,2016,2.39 Earths,1.35 x Earth,0.1102 AU,15 days,0.0,
1830,Super Earth,2016,3.53 Earths,1.7 x Earth,0.2134 AU,23.6 days,0.0,
1831,Neptune-like,2016,6.99 Earths,0.227 x Jupiter,0.233 AU,41.7 days,0.0,
1832,Super Earth,2016,1.41 Earths,1.11 x Earth,0.0546 AU,4.8 days,0.0,
1833,Neptune-like,2016,7.95 Earths,0.244 x Jupiter,0.2079 AU,38.7 days,0.0,
1834,Super Earth,2016,4.35 Earths,1.92 x Earth,0.0812 AU,8.3 days,0.0,
1835,Super Earth,2014,3.12 Earths,1.58 x Earth,0.046 AU,3.3 days,0.0,
1836,Gas Giant,2014,0.132 Jupiters,0.651 x Jupiter,0.761 AU,224.8 days,0.0,
1837,Super Earth,2016,2.48 Earths,1.38 x Earth,0.0369 AU,2.9 days,0.0,
1838,Super Earth,2016,4.31 Earths,1.91 x Earth,0.1187 AU,13.2 days,0.0,
1839,Super Earth,2016,4.82 Earths,2.04 x Earth,0.2315 AU,42.2 days,0.0,
1840,Super Earth,2016,3.43 Earths,1.67 x Earth,0.0497 AU,4.3 days,0.0,
1841,Super Earth,2016,2.18 Earths,1.28 x Earth,0.0305 AU,2.9 days,0.0,
1842,Super Earth,2016,4.04 Earths,1.84 x Earth,0.1348 AU,17.7 days,0.0,
1843,Super Earth,2016,3.64 Earths,1.73 x Earth,0.4126 AU,108.6 days,0.0,
1844,Super Earth,2016,4.5 Earths,1.96 x Earth,0.0556 AU,5.1 days,0.0,
1845,Neptune-like,2016,12.9 Earths,0.326 x Jupiter,0.302 AU,61.6 days,0.0,
1846,Neptune-like,2016,9.06 Earths,0.264 x Jupiter,0.1644 AU,24.3 days,0.0,
1847,Neptune-like,2016,7.9 Earths,0.244 x Jupiter,0.3528 AU,76.5 days,0.0,
1848,Neptune-like,2014,6.17 Earths,0.211 x Jupiter,0.076 AU,8.4 days,0.0,
1849,Neptune-like,2014,6.35 Earths,0.214 x Jupiter,0.172 AU,28.6 days,0.0,
1850,Terrestrial,2016,0.437 Earths,0.8 x Earth,0.0595 AU,5.5 days,0.0,
1851,Terrestrial,2021,0.422 Earths,0.792 x Earth,0.0423 AU,3.3 days,0.0,
1852,Terrestrial,2021,0.202 Earths,0.645 x Earth,0.0506 AU,4.3 days,0.0,
1853,Super Earth,2016,3.15 Earths,1.59 x Earth,0.0459 AU,3.5 days,0.0,
1854,Neptune-like,2016,6.12 Earths,0.21 x Jupiter,0.2881 AU,62.9 days,0.0,
1855,Super Earth,2016,4.54 Earths,1.97 x Earth,0.0983 AU,11.6 days,0.0,
1856,Neptune-like,2016,7.46 Earths,0.236 x Jupiter,0.1242 AU,17.1 days,0.0,
1857,Super Earth,2016,4.08 Earths,1.85 x Earth,0.3436 AU,77 days,0.0,
1858,Super Earth,2016,3.33 Earths,1.64 x Earth,0.0299 AU,2.4 days,0.0,
1859,Neptune-like,2016,5.48 Earths,2.2 x Earth,0.1871 AU,23.9 days,0.0,
1860,Super Earth,2016,3.53 Earths,1.7 x Earth,0.0415 AU,3.2 days,0.0,
1861,Super Earth,2016,1.81 Earths,1.19 x Earth,0.0165 AU,0.8 days,0.0,
1862,Super Earth,2014,11.7 Earths,1.82 x Earth,0.0502 AU,4.8 days,0.0,
1863,Neptune-like,2014,8.7 Earths,2.18 x Earth,0.0763 AU,8.9 days,0.0,
1864,Neptune-like,2016,8.1 Earths,0.247 x Jupiter,0.1478 AU,24.1 days,0.0,
1865,Terrestrial,2016,0.477 Earths,0.82 x Earth,0.0345 AU,2.3 days,0.0,
1866,Super Earth,2016,2.76 Earths,1.47 x Earth,0.1343 AU,18.3 days,0.0,
1867,Super Earth,2016,3.43 Earths,1.67 x Earth,0.0371 AU,2.9 days,0.0,
1868,Neptune-like,2016,12.6 Earths,0.321 x Jupiter,0.6477 AU,210.6 days,0.0,
1869,Super Earth,2016,4.62 Earths,1.99 x Earth,0.1291 AU,17.1 days,0.0,
1870,Super Earth,2016,2.54 Earths,1.4 x Earth,0.0443 AU,4 days,0.0,
1871,Super Earth,2016,2.04 Earths,1.23 x Earth,0.0325 AU,2.4 days,0.0,
1872,Neptune-like,2016,7.32 Earths,0.233 x Jupiter,0.0961 AU,10.6 days,0.0,
1873,Super Earth,2016,3.5 Earths,1.69 x Earth,0.0188 AU,1.1 days,0.0,
1874,Super Earth,2016,2.67 Earths,1.44 x Earth,0.0473 AU,3.7 days,0.0,
1875,Super Earth,2014,6.8 Earths,1.26 x Earth,0.053 AU,5.2 days,0.0,
